Execution Time(microseconds)	Number of Copies	PASS/FAIL
978915	19951424	PASS
967656	19951424	PASS
960269	19951424	PASS
956413	19951424	PASS
959224	19951424	PASS
960614	19951424	PASS
962420	19951424	PASS
948447	19951424	PASS
955168	19951424	PASS
957817	19951424	PASS
950806	19951424	PASS
947966	19951424	PASS
952789	19951424	PASS
953236	19951424	PASS
961447	19951424	PASS
956295	19951424	PASS
954329	19951424	PASS
956082	19951424	PASS
956818	19951424	PASS
955659	19951424	PASS
960241	19951424	PASS
955484	19951424	PASS
952270	19951424	PASS
953397	19951424	PASS
953115	19951424	PASS
956472	19951424	PASS
943422	19951424	PASS
919005	19951424	PASS
907079	19951424	PASS
910410	19951424	PASS
912720	19951424	PASS
904095	19951424	PASS
908077	19951424	PASS
913809	19951424	PASS
903126	19951424	PASS
912873	19951424	PASS
911982	19951424	PASS
909720	19951424	PASS
913575	19951424	PASS
909895	19951424	PASS
912611	19951424	PASS
911394	19951424	PASS
907348	19951424	PASS
905195	19951424	PASS
917784	19951424	PASS
906258	19951424	PASS
912137	19951424	PASS
922162	19951424	PASS
908180	19951424	PASS
909470	19951424	PASS
907961	19951424	PASS
912928	19951424	PASS
909338	19951424	PASS
915700	19951424	PASS
913669	19951424	PASS
952721	19951424	PASS
910221	19951424	PASS
906819	19951424	PASS
914492	19951424	PASS
915949	19951424	PASS
920529	19951424	PASS
912672	19951424	PASS
904607	19951424	PASS
905648	19951424	PASS
909381	19951424	PASS
908668	19951424	PASS
907684	19951424	PASS
908051	19951424	PASS
916927	19951424	PASS
914265	19951424	PASS
910127	19951424	PASS
909748	19951424	PASS
909010	19951424	PASS
915993	19951424	PASS
909622	19951424	PASS
911391	19951424	PASS
915247	19951424	PASS
907244	19951424	PASS
912211	19951424	PASS
910424	19951424	PASS
922150	19951424	PASS
902042	19951424	PASS
907889	19951424	PASS
906316	19951424	PASS
907483	19951424	PASS
909603	19951424	PASS
909008	19951424	PASS
910148	19951424	PASS
903800	19951424	PASS
906061	19951424	PASS
911454	19951424	PASS
919834	19951424	PASS
940707	19951424	PASS
954924	19951424	PASS
920922	19951424	PASS
907613	19951424	PASS
910967	19951424	PASS
918815	19951424	PASS
907660	19951424	PASS
911373	19951424	PASS
