Array Size:	100
Execution Time(microseconds)	Number of Copies	PASS/FAIL
184	672	PASS
183	672	PASS
183	672	PASS
183	672	PASS
189	672	PASS
183	672	PASS
183	672	PASS
188	672	PASS
183	672	PASS
182	672	PASS
183	672	PASS
188	672	PASS
191	672	PASS
183	672	PASS
184	672	PASS
183	672	PASS
187	672	PASS
200	672	PASS
209	672	PASS
192	672	PASS

Array Size:	1000
Execution Time(microseconds)	Number of Copies	PASS/FAIL
1073	9976	PASS
1067	9976	PASS
1050	9976	PASS
1060	9976	PASS
1046	9976	PASS
1040	9976	PASS
1048	9976	PASS
1057	9976	PASS
1047	9976	PASS
1053	9976	PASS
1052	9976	PASS
1053	9976	PASS
1054	9976	PASS
1049	9976	PASS
912	9976	PASS
835	9976	PASS
835	9976	PASS
841	9976	PASS
832	9976	PASS
886	9976	PASS

Array Size:	10000
Execution Time(microseconds)	Number of Copies	PASS/FAIL
9034	133616	PASS
10536	133616	PASS
11118	133616	PASS
11467	133616	PASS
11826	133616	PASS
10576	133616	PASS
8962	133616	PASS
8850	133616	PASS
8951	133616	PASS
8867	133616	PASS
8904	133616	PASS
8854	133616	PASS
8860	133616	PASS
8867	133616	PASS
8889	133616	PASS
8944	133616	PASS
8896	133616	PASS
8887	133616	PASS
8992	133616	PASS
8987	133616	PASS

Array Size:	100000
Execution Time(microseconds)	Number of Copies	PASS/FAIL
88489	1668928	PASS
87832	1668928	PASS
86989	1668928	PASS
88613	1668928	PASS
88904	1668928	PASS
88654	1668928	PASS
87373	1668928	PASS
87780	1668928	PASS
88269	1668928	PASS
85714	1668928	PASS
87508	1668928	PASS
86425	1668928	PASS
88620	1668928	PASS
87339	1668928	PASS
88908	1668928	PASS
92016	1668928	PASS
87732	1668928	PASS
93425	1668928	PASS
91671	1668928	PASS
90643	1668928	PASS

Array Size:	1000000
Execution Time(microseconds)	Number of Copies	PASS/FAIL
928812	19951424	PASS
929702	19951424	PASS
921746	19951424	PASS
923767	19951424	PASS
938888	19951424	PASS
918870	19951424	PASS
945400	19951424	PASS
931757	19951424	PASS
894435	19951424	PASS
896354	19951424	PASS
900730	19951424	PASS
892829	19951424	PASS
898251	19951424	PASS
894729	19951424	PASS
894670	19951424	PASS
892665	19951424	PASS
898580	19951424	PASS
903456	19951424	PASS
909821	19951424	PASS
919104	19951424	PASS

Array Size:	10000000
Execution Time(microseconds)	Number of Copies	PASS/FAIL
9648050	233222784	PASS
9871593	233222784	PASS
9618503	233222784	PASS
9744698	233222784	PASS
9563013	233222784	PASS
9541031	233222784	PASS
9122998	233222784	PASS
9109443	233222784	PASS
9107796	233222784	PASS
9107876	233222784	PASS
9128742	233222784	PASS
9157618	233222784	PASS
9133649	233222784	PASS
9123264	233222784	PASS
9139619	233222784	PASS
9128884	233222784	PASS
9096196	233222784	PASS
9103263	233222784	PASS
9253069	233222784	PASS
9178846	233222784	PASS

