Array Size:	100
Execution Time(microseconds)	Number of swaps	PASS/FAIL
18	151	PASS
18	155	PASS
18	167	PASS
18	161	PASS
18	159	PASS
18	155	PASS
18	163	PASS
18	153	PASS
18	159	PASS
18	147	PASS
18	161	PASS
18	159	PASS
19	145	PASS
18	155	PASS
18	163	PASS
18	161	PASS
18	149	PASS
18	151	PASS
18	149	PASS
18	149	PASS

Array Size:	1000
Execution Time(microseconds)	Number of swaps	PASS/FAIL
172	2310	PASS
183	2348	PASS
173	2402	PASS
174	2350	PASS
173	2334	PASS
172	2346	PASS
176	2370	PASS
173	2340	PASS
171	2302	PASS
173	2326	PASS
174	2366	PASS
174	2340	PASS
174	2354	PASS
174	2362	PASS
173	2340	PASS
173	2316	PASS
174	2332	PASS
173	2376	PASS
176	2304	PASS
175	2332	PASS

Array Size:	10000
Execution Time(microseconds)	Number of swaps	PASS/FAIL
2064	31005	PASS
2052	30841	PASS
2074	30943	PASS
2073	30963	PASS
2078	30487	PASS
2059	31093	PASS
2063	31191	PASS
2055	31303	PASS
2088	30737	PASS
2082	31435	PASS
2074	31313	PASS
2066	31327	PASS
2086	30951	PASS
2076	31397	PASS
2073	30857	PASS
2076	31319	PASS
2069	30691	PASS
2078	31109	PASS
2060	31059	PASS
2087	30325	PASS

Array Size:	100000
Execution Time(microseconds)	Number of swaps	PASS/FAIL
24077	383175	PASS
24129	389375	PASS
24257	387101	PASS
24182	390585	PASS
23968	387745	PASS
24062	387835	PASS
24067	389583	PASS
24032	391545	PASS
24016	388291	PASS
24013	388011	PASS
24028	388497	PASS
24381	383831	PASS
24170	388351	PASS
23911	386025	PASS
24051	387065	PASS
24045	386287	PASS
23965	387715	PASS
24000	385215	PASS
24016	388867	PASS
23995	389831	PASS

Array Size:	1000000
Execution Time(microseconds)	Number of swaps	PASS/FAIL
277178	4631893	PASS
275236	4667229	PASS
276644	4633239	PASS
274728	4671323	PASS
273919	4592375	PASS
274235	4672907	PASS
276389	4629553	PASS
274761	4648579	PASS
275484	4637299	PASS
275327	4638037	PASS
274493	4597437	PASS
274276	4650019	PASS
275269	4652363	PASS
274369	4668379	PASS
276538	4658953	PASS
277199	4623063	PASS
274971	4643927	PASS
274726	4642125	PASS
275224	4665737	PASS
276956	4624925	PASS

Array Size:	10000000
Execution Time(microseconds)	Number of swaps	PASS/FAIL
3093153	54383953	PASS
3093780	54319107	PASS
3098551	54315797	PASS
3105989	54185847	PASS
3090064	54318173	PASS
3102017	54289963	PASS
3123468	54162349	PASS
3090145	53994467	PASS
3109258	53941079	PASS
3096170	54331437	PASS
3097215	54183873	PASS
3106179	53958805	PASS
3124331	53862033	PASS
3115822	54105609	PASS
3100990	54135781	PASS
3096428	54220655	PASS
3103255	54231619	PASS
3122067	53617691	PASS
3101441	53755795	PASS
3101762	54167729	PASS

